Category,Bedrooms,Bathrooms,SUVs,Cars,Garages,Domestic Help Rooms,Age of House,House Area,Price
Economy,1.0,1.0,0.0,1.0,1.0,1.0,12.0,300.0,2520000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,-2.0,1190.0,16344000.0
Luxury,4.0,3.0,1.0,1.0,2.0,2.0,5.0,2100.0,37647000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,2.0,360.0,3542000.0
,1.0,1.0,0.0,1.0,1.0,1.0,2.0,350.0,3377000.0
Luxury,3.0,2.0,1.0,2.0,3.0,,,2010.0,38819000.0
,3.0,,1.0,1.0,2.0,1.0,12.0,1500.0,25863000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,350.0,3496000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,10.0,1120.0,
Ultra Luxury,5.0,6.0,3.0,2.0,5.0,3.0,12.0,3760.0,69730000.0
Ultra Luxury,4.0,,1.0,3.0,4.0,1.0,-1.0,2400.0,45273000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1200.0,17337000.0
Luxury,4.0,5.0,1.0,2.0,3.0,2.0,2.0,2480.0,44679000.0
Premium,3.0,4.0,1.0,1.0,2.0,2.0,8.0,1630.0,26376000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,350.0,3740000.0
Economy,1.0,,0.0,1.0,1.0,1.0,2.0,360.0,3492000.0
Premium,3.0,2.0,1.0,,2.0,2.0,5.0,1460.0,13346000.0
Ultra Luxury,5.0,4.0,3.0,1.0,4.0,3.0,5.0,3390.0,66485000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,15.0,1140.0,17588000.0
Luxury,3.0,2.0,2.0,2.0,,3.0,-2.0,2250.0,44873000.0
Premium,2.0,3.0,1.0,1.0,2.0,1.0,10.0,1140.0,22600000.0
Premium,3.0,4.0,1.0,1.0,2.0,1.0,,1450.0,25535000.0
Luxury,4.0,,1.0,1.0,2.0,2.0,-2.0,2200.0,42140000.0
Luxury,3.0,3.0,1.0,1.0,,3.0,8.0,1890.0,27795000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1150.0,
Luxury,4.0,3.0,1.0,1.0,,2.0,5.0,,41570000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1170.0,21612000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,300.0,2963000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,8.0,300.0,3079000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,350.0,4375000.0
Premium,3.0,2.0,1.0,1.0,2.0,1.0,5.0,1460.0,18806000.0
Ultra Luxury,4.0,3.0,2.0,2.0,4.0,3.0,12.0,3080.0,63979000.0
Premium,2.0,3.0,1.0,1.0,2.0,2.0,-1.0,1160.0,17789000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-2.0,350.0,3908000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,2.0,330.0,3550000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,-2.0,1570.0,20870000.0
Economy,1.0,1.0,0.0,,1.0,1.0,,380.0,3579000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,15.0,350.0,2836000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,310.0,2545000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,-2.0,1660.0,32141000.0
Luxury,3.0,2.0,1.0,2.0,3.0,2.0,8.0,2040.0,32724000.0
Luxury,4.0,3.0,2.0,1.0,3.0,2.0,5.0,2250.0,32553000.0
Economy,1.0,1.0,0.0,1.0,,1.0,5.0,290.0,2570000.0
Premium,3.0,3.0,1.0,1.0,2.0,2.0,-1.0,1480.0,22444000.0
Economy,1.0,2.0,,1.0,1.0,1.0,2.0,340.0,4029000.0
Premium,3.0,,1.0,1.0,2.0,,5.0,1450.0,13976000.0
Luxury,3.0,3.0,1.0,2.0,,2.0,5.0,1870.0,34232000.0
Luxury,3.0,2.0,1.0,1.0,2.0,2.0,10.0,1900.0,33313000.0
Economy,,1.0,0.0,,1.0,1.0,-1.0,350.0,3727000.0
Ultra Luxury,4.0,3.0,3.0,,5.0,1.0,12.0,2890.0,38674000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1570.0,29778000.0
Economy,1.0,,0.0,1.0,1.0,1.0,2.0,,2374000.0
Luxury,4.0,3.0,1.0,1.0,2.0,3.0,0.0,,31515000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,8.0,350.0,5240000.0
Premium,3.0,2.0,1.0,1.0,2.0,1.0,0.0,1420.0,24441000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,300.0,2336000.0
Economy,1.0,,0.0,1.0,1.0,1.0,12.0,380.0,
Economy,1.0,2.0,0.0,,1.0,1.0,0.0,350.0,3416000.0
Premium,3.0,2.0,,1.0,2.0,1.0,10.0,1530.0,24331000.0
Luxury,4.0,4.0,1.0,2.0,3.0,2.0,8.0,,48375000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,0.0,350.0,3205000.0
Luxury,3.0,2.0,,2.0,4.0,,-1.0,2060.0,37835000.0
Luxury,4.0,3.0,,1.0,3.0,2.0,2.0,2360.0,43093000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,12.0,1180.0,
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,390.0,4437000.0
Economy,1.0,,0.0,1.0,1.0,1.0,10.0,370.0,3374000.0
Premium,2.0,1.0,1.0,,2.0,1.0,10.0,1040.0,15906000.0
,3.0,2.0,1.0,2.0,3.0,3.0,-1.0,2090.0,
Economy,1.0,1.0,,1.0,1.0,1.0,-1.0,300.0,3678000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,340.0,3621000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1040.0,15097000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,320.0,2811000.0
Luxury,3.0,2.0,2.0,1.0,3.0,2.0,5.0,,37076000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,370.0,3331000.0
Ultra Luxury,5.0,4.0,2.0,2.0,4.0,2.0,5.0,,
Economy,1.0,1.0,0.0,1.0,1.0,1.0,15.0,310.0,3198000.0
Economy,,2.0,0.0,1.0,1.0,1.0,-1.0,340.0,2992000.0
Premium,3.0,4.0,1.0,1.0,2.0,1.0,-2.0,1520.0,17002000.0
Economy,1.0,,0.0,1.0,1.0,1.0,0.0,360.0,3429000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,15.0,1210.0,15554000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,,300.0,3256000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1590.0,17371000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,0.0,390.0,3604000.0
Luxury,3.0,,1.0,2.0,3.0,,15.0,2030.0,39450000.0
Economy,1.0,1.0,0.0,1.0,1.0,,0.0,330.0,2964000.0
Ultra Luxury,4.0,4.0,3.0,1.0,,1.0,2.0,2670.0,61279000.0
,1.0,1.0,0.0,,1.0,1.0,,300.0,2842000.0
Premium,2.0,1.0,1.0,,2.0,1.0,15.0,1050.0,12497000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1140.0,11204000.0
Luxury,4.0,3.0,,2.0,4.0,3.0,0.0,2870.0,39219000.0
Luxury,4.0,5.0,1.0,1.0,2.0,3.0,8.0,2420.0,45860000.0
Premium,3.0,3.0,1.0,1.0,2.0,2.0,8.0,1520.0,10778000.0
Ultra Luxury,4.0,3.0,2.0,3.0,5.0,2.0,,3070.0,59900000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,320.0,3515000.0
Luxury,4.0,5.0,2.0,2.0,4.0,2.0,0.0,2590.0,30900000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,,1290.0,18342000.0
Ultra Luxury,,,3.0,1.0,4.0,3.0,-2.0,3040.0,
Ultra Luxury,6.0,5.0,2.0,3.0,5.0,3.0,0.0,3810.0,73277000.0
Premium,2.0,2.0,1.0,1.0,2.0,1.0,12.0,1120.0,16830000.0
Luxury,3.0,2.0,1.0,1.0,2.0,3.0,0.0,1920.0,31722000.0
Ultra Luxury,4.0,3.0,3.0,1.0,4.0,3.0,-1.0,2900.0,
Economy,1.0,,0.0,1.0,1.0,1.0,-1.0,350.0,2819000.0
,3.0,3.0,1.0,1.0,2.0,1.0,10.0,1500.0,24058000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,380.0,3323000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,-1.0,1250.0,18633000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,10.0,1420.0,17244000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,340.0,4161000.0
Economy,1.0,2.0,0.0,1.0,1.0,,0.0,380.0,3651000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,,1480.0,10441000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,10.0,310.0,3058000.0
Premium,3.0,2.0,,1.0,2.0,2.0,15.0,1700.0,25940000.0
Economy,1.0,1.0,0.0,1.0,1.0,,0.0,360.0,3079000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,10.0,380.0,5355000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,10.0,360.0,3903000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,350.0,3661000.0
Luxury,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1890.0,
Ultra Luxury,4.0,,3.0,,4.0,3.0,-2.0,2820.0,52808000.0
Luxury,3.0,2.0,2.0,2.0,4.0,3.0,-2.0,2140.0,39869000.0
Luxury,3.0,2.0,,2.0,3.0,2.0,-2.0,1830.0,
Economy,1.0,,0.0,,1.0,1.0,2.0,360.0,3740000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,360.0,5040000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1250.0,12353000.0
Premium,2.0,,1.0,1.0,2.0,1.0,-1.0,1090.0,
Premium,3.0,,1.0,1.0,2.0,1.0,,1550.0,20884000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1220.0,15537000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,8.0,380.0,3234000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,8.0,360.0,4064000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,350.0,4038000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,350.0,4024000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1130.0,23914000.0
,3.0,,1.0,1.0,2.0,2.0,10.0,1630.0,23620000.0
Premium,3.0,3.0,1.0,1.0,2.0,2.0,,1600.0,22346000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,12.0,340.0,3245000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,360.0,2041000.0
Economy,1.0,1.0,0.0,1.0,,1.0,2.0,350.0,3429000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,12.0,,
Premium,3.0,3.0,1.0,1.0,,2.0,2.0,1440.0,14750000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,12528000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,340.0,2144000.0
Premium,3.0,,1.0,1.0,2.0,2.0,-2.0,1560.0,20214000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,350.0,3386000.0
Luxury,3.0,2.0,2.0,2.0,4.0,1.0,8.0,2150.0,52771000.0
Premium,,2.0,1.0,1.0,2.0,2.0,0.0,1190.0,
,3.0,,1.0,2.0,3.0,3.0,-2.0,2230.0,
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,310.0,1553000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,0.0,,3146000.0
Luxury,4.0,3.0,1.0,2.0,3.0,2.0,-2.0,,44620000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,8.0,310.0,2826000.0
Premium,3.0,3.0,1.0,1.0,2.0,,8.0,1400.0,22892000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1220.0,20607000.0
Luxury,3.0,2.0,1.0,2.0,3.0,2.0,-1.0,1940.0,36822000.0
Ultra Luxury,4.0,3.0,,3.0,4.0,3.0,-1.0,3010.0,67622000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,-2.0,1190.0,16612000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,-1.0,1570.0,13688000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,5.0,1500.0,26217000.0
Premium,3.0,,1.0,1.0,2.0,2.0,5.0,,31669000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,-1.0,300.0,3782000.0
Economy,1.0,1.0,0.0,1.0,,1.0,15.0,330.0,3100000.0
Luxury,4.0,3.0,2.0,1.0,3.0,3.0,,,40882000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,300.0,3216000.0
Economy,1.0,1.0,0.0,1.0,,1.0,2.0,370.0,5287000.0
,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1290.0,13949000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,-1.0,1540.0,21726000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,340.0,4034000.0
,4.0,3.0,1.0,2.0,3.0,3.0,5.0,2820.0,54573000.0
Luxury,3.0,4.0,1.0,2.0,3.0,2.0,2.0,2110.0,25139000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,12.0,340.0,3703000.0
Ultra Luxury,6.0,,3.0,2.0,5.0,,2.0,4020.0,
,,5.0,2.0,2.0,4.0,3.0,5.0,2470.0,49158000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,15.0,320.0,2942000.0
Luxury,3.0,2.0,2.0,1.0,3.0,2.0,-1.0,1970.0,24081000.0
Economy,1.0,2.0,,,1.0,1.0,8.0,310.0,
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,370.0,2687000.0
Premium,3.0,3.0,1.0,1.0,2.0,2.0,,1500.0,20661000.0
Economy,1.0,,0.0,1.0,1.0,0.0,,250.0,2940000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-2.0,320.0,3467000.0
Premium,2.0,1.0,1.0,1.0,,1.0,-1.0,1210.0,16909000.0
Economy,1.0,1.0,0.0,1.0,,1.0,15.0,350.0,3899000.0
Luxury,3.0,2.0,,2.0,4.0,3.0,2.0,2300.0,37110000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,10.0,300.0,
Economy,1.0,1.0,0.0,1.0,1.0,0.0,10.0,260.0,2613000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,,4360000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,330.0,4707000.0
Premium,3.0,4.0,1.0,1.0,2.0,2.0,-1.0,1530.0,31931000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,,10610000.0
Economy,1.0,,0.0,1.0,1.0,1.0,2.0,350.0,4088000.0
Ultra Luxury,5.0,6.0,3.0,2.0,5.0,2.0,0.0,,64279000.0
Ultra Luxury,6.0,5.0,3.0,1.0,4.0,2.0,5.0,4030.0,
Premium,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1120.0,11783000.0
Premium,2.0,3.0,1.0,1.0,2.0,2.0,0.0,1170.0,16945000.0
Economy,1.0,,0.0,1.0,1.0,0.0,-2.0,250.0,2547000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,340.0,3681000.0
Luxury,4.0,3.0,2.0,1.0,3.0,2.0,,2490.0,58595000.0
Luxury,4.0,5.0,1.0,2.0,3.0,2.0,-2.0,2350.0,37600000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,12.0,1550.0,20571000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,0.0,370.0,3477000.0
Premium,2.0,,1.0,1.0,2.0,2.0,8.0,1220.0,12782000.0
Ultra Luxury,4.0,3.0,2.0,2.0,4.0,3.0,10.0,2850.0,51514000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1680.0,26985000.0
Luxury,4.0,3.0,2.0,,3.0,2.0,0.0,2580.0,46148000.0
Premium,2.0,3.0,1.0,,2.0,2.0,-1.0,1210.0,
Luxury,4.0,3.0,2.0,1.0,3.0,2.0,2.0,2360.0,40760000.0
Luxury,3.0,2.0,1.0,1.0,2.0,2.0,,1880.0,32317000.0
Premium,2.0,1.0,1.0,1.0,,2.0,,1200.0,13053000.0
Premium,2.0,,1.0,1.0,2.0,1.0,-1.0,1160.0,11681000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,10.0,350.0,4207000.0
Premium,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1420.0,22145000.0
Luxury,4.0,5.0,2.0,2.0,4.0,3.0,-2.0,2730.0,40086000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,,1130.0,17282000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-2.0,350.0,2504000.0
Premium,2.0,1.0,,1.0,,2.0,-2.0,1190.0,18329000.0
Premium,3.0,2.0,1.0,1.0,2.0,1.0,,1450.0,24793000.0
Economy,1.0,1.0,0.0,1.0,1.0,0.0,-2.0,280.0,1917000.0
,1.0,1.0,0.0,1.0,1.0,1.0,-2.0,360.0,5356000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1310.0,24489000.0
Luxury,4.0,3.0,2.0,2.0,4.0,2.0,12.0,2460.0,48305000.0
Premium,3.0,3.0,1.0,1.0,2.0,2.0,8.0,1520.0,24374000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,-2.0,1400.0,28066000.0
Economy,1.0,,0.0,1.0,1.0,1.0,-1.0,320.0,2895000.0
Premium,2.0,3.0,1.0,1.0,2.0,1.0,0.0,1060.0,
Economy,1.0,2.0,0.0,1.0,1.0,1.0,5.0,350.0,3757000.0
Luxury,4.0,4.0,2.0,2.0,4.0,,0.0,2530.0,46764000.0
Economy,1.0,,0.0,1.0,1.0,1.0,2.0,300.0,4630000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,320.0,3398000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,,3388000.0
Premium,3.0,4.0,1.0,1.0,2.0,2.0,8.0,1510.0,16151000.0
Economy,1.0,,0.0,,,1.0,-2.0,340.0,3737000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,5.0,1610.0,25657000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,310.0,2916000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,-1.0,1620.0,17874000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,,370.0,4076000.0
Luxury,3.0,4.0,2.0,1.0,3.0,2.0,5.0,2010.0,29904000.0
Economy,1.0,1.0,,1.0,1.0,1.0,0.0,370.0,3198000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,340.0,4341000.0
Premium,3.0,2.0,1.0,,2.0,2.0,5.0,,26908000.0
Premium,3.0,4.0,1.0,1.0,2.0,,15.0,1440.0,15307000.0
Economy,1.0,,,1.0,1.0,1.0,12.0,370.0,4135000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1170.0,15669000.0
Premium,3.0,,1.0,1.0,2.0,2.0,8.0,1610.0,23746000.0
Ultra Luxury,5.0,4.0,2.0,2.0,4.0,3.0,8.0,3200.0,44158000.0
Luxury,3.0,2.0,1.0,,3.0,3.0,5.0,2170.0,38444000.0
Luxury,4.0,3.0,1.0,1.0,2.0,3.0,15.0,2320.0,41700000.0
,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,350.0,4039000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,320.0,3184000.0
Premium,2.0,1.0,1.0,,2.0,1.0,5.0,1090.0,18756000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,8.0,310.0,4142000.0
Economy,1.0,1.0,0.0,1.0,,1.0,5.0,340.0,3373000.0
Premium,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1100.0,15490000.0
Premium,3.0,4.0,1.0,1.0,2.0,1.0,0.0,1500.0,19986000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,350.0,3835000.0
Luxury,3.0,4.0,1.0,2.0,3.0,2.0,0.0,1860.0,31226000.0
Economy,1.0,,0.0,1.0,1.0,1.0,15.0,320.0,
Premium,2.0,1.0,1.0,1.0,2.0,1.0,10.0,1080.0,16726000.0
Ultra Luxury,6.0,6.0,2.0,3.0,5.0,3.0,2.0,4090.0,80907000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,330.0,3409000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,10.0,340.0,3582000.0
Economy,1.0,1.0,0.0,,1.0,1.0,2.0,350.0,4459000.0
Luxury,4.0,5.0,2.0,2.0,4.0,2.0,5.0,2550.0,57803000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,12.0,,2558000.0
Ultra Luxury,5.0,6.0,1.0,2.0,3.0,4.0,-1.0,3480.0,66779000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,310.0,2955000.0
Premium,3.0,2.0,1.0,1.0,2.0,1.0,0.0,1550.0,19954000.0
Luxury,4.0,3.0,2.0,1.0,3.0,3.0,15.0,,44517000.0
Ultra Luxury,4.0,3.0,3.0,2.0,5.0,2.0,2.0,3130.0,68738000.0
Premium,2.0,3.0,1.0,1.0,,1.0,,1080.0,13435000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,8.0,350.0,3613000.0
,1.0,,0.0,1.0,1.0,1.0,2.0,340.0,2849000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,380.0,4271000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,290.0,3888000.0
Premium,3.0,4.0,1.0,1.0,2.0,1.0,2.0,1420.0,21720000.0
Premium,3.0,2.0,1.0,,2.0,2.0,0.0,1700.0,18932000.0
Economy,,1.0,0.0,1.0,1.0,1.0,15.0,310.0,3342000.0
Premium,,2.0,1.0,1.0,2.0,1.0,0.0,1390.0,12297000.0
Luxury,3.0,2.0,2.0,1.0,3.0,2.0,-1.0,1990.0,32112000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,320.0,2723000.0
Premium,2.0,1.0,1.0,1.0,2.0,,10.0,,17619000.0
Economy,1.0,,0.0,1.0,1.0,1.0,-1.0,370.0,3653000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1240.0,16183000.0
Luxury,4.0,3.0,2.0,2.0,4.0,2.0,12.0,2640.0,38791000.0
Luxury,3.0,2.0,2.0,2.0,4.0,3.0,15.0,2110.0,37693000.0
Luxury,,5.0,2.0,2.0,4.0,3.0,-2.0,2880.0,43790000.0
Premium,3.0,2.0,,1.0,,2.0,,1390.0,27998000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,15.0,360.0,3645000.0
Luxury,,5.0,1.0,2.0,3.0,,-2.0,2470.0,36367000.0
Luxury,3.0,2.0,,1.0,2.0,2.0,0.0,1980.0,31499000.0
Premium,3.0,,1.0,1.0,2.0,1.0,2.0,1330.0,18657000.0
Ultra Luxury,5.0,4.0,3.0,2.0,5.0,4.0,8.0,3790.0,86623000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,15.0,1120.0,24145000.0
Economy,1.0,2.0,0.0,1.0,1.0,,-1.0,340.0,2754000.0
Luxury,,2.0,2.0,1.0,3.0,3.0,-1.0,2120.0,45792000.0
Ultra Luxury,4.0,3.0,3.0,2.0,,2.0,12.0,2900.0,49797000.0
Luxury,4.0,5.0,2.0,1.0,3.0,2.0,-1.0,2550.0,37902000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,340.0,1856000.0
Economy,1.0,,0.0,1.0,1.0,1.0,0.0,320.0,3611000.0
Economy,1.0,1.0,0.0,1.0,1.0,,2.0,370.0,3576000.0
Luxury,4.0,3.0,1.0,1.0,2.0,1.0,0.0,2250.0,30054000.0
Economy,1.0,,0.0,1.0,1.0,1.0,-1.0,330.0,3426000.0
Premium,,2.0,1.0,1.0,2.0,2.0,15.0,1110.0,15140000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,370.0,3605000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,,3246000.0
Economy,1.0,2.0,0.0,1.0,,1.0,15.0,,2613000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,10.0,1120.0,8924000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,-1.0,1450.0,16910000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1240.0,
Premium,3.0,,1.0,1.0,2.0,,8.0,1600.0,25385000.0
Ultra Luxury,6.0,7.0,1.0,1.0,,3.0,-1.0,3660.0,
Premium,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1300.0,13364000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,-1.0,360.0,3728000.0
Luxury,4.0,3.0,2.0,2.0,4.0,2.0,5.0,2430.0,45856000.0
Premium,2.0,2.0,1.0,1.0,2.0,2.0,,1260.0,
Ultra Luxury,4.0,5.0,2.0,3.0,5.0,3.0,2.0,3070.0,60661000.0
Economy,1.0,2.0,0.0,,1.0,1.0,5.0,340.0,3259000.0
Ultra Luxury,5.0,4.0,2.0,2.0,4.0,3.0,10.0,3420.0,71757000.0
,3.0,4.0,1.0,1.0,2.0,2.0,12.0,1550.0,22889000.0
Ultra Luxury,4.0,4.0,1.0,3.0,4.0,3.0,-2.0,3170.0,78218000.0
Luxury,3.0,2.0,2.0,2.0,4.0,2.0,-1.0,2210.0,42347000.0
Luxury,3.0,,1.0,2.0,3.0,3.0,8.0,2040.0,24387000.0
Ultra Luxury,5.0,5.0,3.0,1.0,4.0,4.0,5.0,3660.0,75187000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,350.0,3504000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,310.0,
Economy,1.0,,0.0,1.0,1.0,1.0,-1.0,350.0,4870000.0
Luxury,4.0,4.0,1.0,1.0,2.0,2.0,,2210.0,36671000.0
Ultra Luxury,6.0,5.0,3.0,1.0,4.0,3.0,-2.0,4230.0,92665000.0
Ultra Luxury,4.0,3.0,1.0,3.0,4.0,3.0,5.0,2920.0,53063000.0
Luxury,4.0,3.0,2.0,2.0,4.0,3.0,-1.0,,47368000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,370.0,5766000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,340.0,4620000.0
Economy,1.0,,0.0,1.0,1.0,1.0,0.0,320.0,2546000.0
Premium,3.0,3.0,1.0,1.0,2.0,1.0,10.0,1410.0,27098000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,400.0,4309000.0
Economy,1.0,2.0,0.0,,1.0,1.0,2.0,320.0,3259000.0
Premium,3.0,4.0,1.0,,2.0,2.0,-1.0,1490.0,17464000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,12.0,330.0,3765000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,10.0,330.0,3441000.0
Ultra Luxury,6.0,5.0,1.0,2.0,3.0,3.0,,,72735000.0
Economy,1.0,1.0,0.0,,1.0,1.0,0.0,350.0,3369000.0
Premium,2.0,2.0,1.0,1.0,2.0,1.0,12.0,1100.0,16635000.0
